# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 2.93577975e-03 -2.40572449e-03 3.79556492e-03
100 1.00000000e+01 2.84306286e-03 -2.34929984e-03 3.68811824e-03
200 2.00000000e+01 2.90814857e-03 -2.56065605e-03 3.87482742e-03
300 3.00000000e+01 2.79381312e-03 -2.29705079e-03 3.61688182e-03
400 4.00000000e+01 2.74604186e-03 -2.11530342e-03 3.46630271e-03
500 5.00000000e+01 2.72056204e-03 -2.35640071e-03 3.59917798e-03
600 6.00000000e+01 2.71730497e-03 -2.08739098e-03 3.42650659e-03
700 7.00000000e+01 2.65448750e-03 -1.90528599e-03 3.26747893e-03
800 8.00000000e+01 2.58414820e-03 -1.67532184e-03 3.07969563e-03
900 9.00000000e+01 2.56160600e-03 -1.55651907e-03 2.99742838e-03
1000 1.00000000e+02 2.51899310e-03 -1.51449803e-03 2.93922278e-03
1100 1.10000000e+02 2.39928043e-03 -1.54123234e-03 2.85165631e-03
1200 1.20000000e+02 2.33972305e-03 -1.43082673e-03 2.74254792e-03
1300 1.30000000e+02 2.38983356e-03 -1.32660521e-03 2.73334701e-03
1400 1.40000000e+02 2.44248938e-03 -1.41227036e-03 2.82139361e-03
1500 1.50000000e+02 2.35795556e-03 -1.48061034e-03 2.78427035e-03
1600 1.60000000e+02 2.44661537e-03 -1.49558973e-03 2.86752775e-03
1700 1.70000000e+02 2.43542646e-03 -1.39835908e-03 2.80832871e-03
1800 1.80000000e+02 2.38870038e-03 -1.31172710e-03 2.72516375e-03
1900 1.90000000e+02 2.40996201e-03 -1.30382285e-03 2.74004943e-03
2000 2.00000000e+02 2.45188340e-03 -1.29299192e-03 2.77192357e-03
2100 2.10000000e+02 2.43313378e-03 -1.23004196e-03 2.72637914e-03
2200 2.20000000e+02 2.51911953e-03 -1.29204197e-03 2.83113681e-03
2300 2.30000000e+02 2.54400307e-03 -1.30700634e-03 2.86010790e-03
2400 2.40000000e+02 2.45208316e-03 -1.14854763e-03 2.70774325e-03
2500 2.50000000e+02 2.40716920e-03 -1.12441729e-03 2.65683605e-03
2600 2.60000000e+02 2.44580372e-03 -1.10553717e-03 2.68405818e-03
2700 2.70000000e+02 2.40617781e-03 -1.11745263e-03 2.65299680e-03
2800 2.80000000e+02 2.32600747e-03 -1.13223353e-03 2.58694096e-03
2900 2.90000000e+02 2.30744504e-03 -1.06533885e-03 2.54150536e-03
3000 3.00000000e+02 2.28381110e-03 -1.15649693e-03 2.55993717e-03
3100 3.10000000e+02 2.09988002e-03 -1.12518377e-03 2.38233805e-03
3200 3.20000000e+02 2.05270248e-03 -9.86407045e-04 2.27740781e-03
3300 3.30000000e+02 2.03429349e-03 -8.88928480e-04 2.22003240e-03
3400 3.40000000e+02 1.92116830e-03 -9.12072312e-04 2.12667899e-03
3500 3.50000000e+02 1.85993256e-03 -7.86117103e-04 2.01923976e-03
3600 3.60000000e+02 2.03545834e-03 -8.28776101e-04 2.19771711e-03
3700 3.70000000e+02 2.03669118e-03 -9.46201209e-04 2.24575325e-03
3800 3.80000000e+02 2.02591904e-03 -1.09631941e-03 2.30353298e-03
3900 3.90000000e+02 2.13125418e-03 -1.21387269e-03 2.45269878e-03
4000 4.00000000e+02 2.23802729e-03 -1.24134100e-03 2.55923692e-03
4100 4.10000000e+02 2.25518621e-03 -1.17031764e-03 2.54076922e-03
4200 4.20000000e+02 2.25784001e-03 -1.10656174e-03 2.51442248e-03
4300 4.30000000e+02 2.33376864e-03 -1.07264018e-03 2.56846901e-03
4400 4.40000000e+02 2.25484744e-03 -1.02270779e-03 2.47593784e-03
4500 4.50000000e+02 2.35337694e-03 -1.15166814e-03 2.62006155e-03
4600 4.60000000e+02 2.35553598e-03 -1.17501267e-03 2.63233823e-03
4700 4.70000000e+02 2.25768168e-03 -1.31293794e-03 2.61169152e-03
4800 4.80000000e+02 2.47836253e-03 -1.61082612e-03 2.95584871e-03
4900 4.90000000e+02 2.45822500e-03 -1.54609641e-03 2.90401175e-03
5000 5.00000000e+02 2.55216286e-03 -1.64782349e-03 3.03790347e-03
5100 5.10000000e+02 2.74300226e-03 -1.77014305e-03 3.26457774e-03
5200 5.20000000e+02 2.87482305e-03 -1.62760844e-03 3.30359150e-03
5300 5.30000000e+02 2.81453668e-03 -1.63224142e-03 3.25358706e-03
5400 5.40000000e+02 2.85755028e-03 -1.62476685e-03 3.28716609e-03
5500 5.50000000e+02 2.74038198e-03 -1.37983018e-03 3.06816309e-03
5600 5.60000000e+02 2.77049514e-03 -1.37083908e-03 3.09109092e-03
5700 5.70000000e+02 2.81407824e-03 -1.22839783e-03 3.07050445e-03
5800 5.80000000e+02 2.93952809e-03 -1.45700737e-03 3.28080719e-03
5900 5.90000000e+02 2.90439324e-03 -1.49025582e-03 3.26440845e-03
6000 6.00000000e+02 2.74439575e-03 -1.56189734e-03 3.15772566e-03
6100 6.10000000e+02 2.69749039e-03 -1.62369397e-03 3.14846574e-03
6200 6.20000000e+02 2.60850973e-03 -1.61453465e-03 3.06774268e-03
6300 6.30000000e+02 2.73554726e-03 -1.45773811e-03 3.09971276e-03
6400 6.40000000e+02 2.73431442e-03 -1.56100164e-03 3.14852370e-03
6500 6.50000000e+02 2.63931532e-03 -1.37426460e-03 2.97566607e-03
6600 6.60000000e+02 2.77430285e-03 -1.29501091e-03 3.06166777e-03
6700 6.70000000e+02 2.67664809e-03 -1.18099188e-03 2.92560879e-03
6800 6.80000000e+02 2.64356961e-03 -1.16244704e-03 2.88786138e-03
6900 6.90000000e+02 2.62192776e-03 -1.02052721e-03 2.81353532e-03
7000 7.00000000e+02 2.58866115e-03 -9.58424702e-04 2.76038847e-03
7100 7.10000000e+02 2.40122387e-03 -8.31998594e-04 2.54127876e-03
7200 7.20000000e+02 2.38234759e-03 -8.92287295e-04 2.54396475e-03
7300 7.30000000e+02 2.49018683e-03 -9.33847507e-04 2.65953034e-03
7400 7.40000000e+02 2.40763579e-03 -9.15902667e-04 2.57596347e-03
7500 7.50000000e+02 2.43668281e-03 -1.00734946e-03 2.63669795e-03
7600 7.60000000e+02 2.44633155e-03 -1.01347128e-03 2.64795432e-03
7700 7.70000000e+02 2.55364249e-03 -1.16516766e-03 2.80690322e-03
7800 7.80000000e+02 2.63509993e-03 -1.31001673e-03 2.94277003e-03
7900 7.90000000e+02 2.51598330e-03 -1.08480977e-03 2.73988763e-03
8000 8.00000000e+02 2.56470032e-03 -9.93617228e-04 2.75044777e-03
8100 8.10000000e+02 2.46177753e-03 -9.75678908e-04 2.64807439e-03
8200 8.20000000e+02 2.40771146e-03 -1.03578903e-03 2.62105578e-03
8300 8.30000000e+02 2.41324631e-03 -8.79693544e-04 2.56858298e-03
8400 8.40000000e+02 2.41134246e-03 -8.21998517e-04 2.54759770e-03
8500 8.50000000e+02 2.68840045e-03 -8.70027347e-04 2.82567595e-03
8600 8.60000000e+02 2.68174498e-03 -1.08610431e-03 2.89333350e-03
8700 8.70000000e+02 2.90314411e-03 -1.36434881e-03 3.20775519e-03
8800 8.80000000e+02 2.97727808e-03 -1.46856834e-03 3.31977074e-03
8900 8.90000000e+02 2.88390275e-03 -1.41754805e-03 3.21346192e-03
9000 9.00000000e+02 2.75527406e-03 -1.22336787e-03 3.01465821e-03
9100 9.10000000e+02 2.84507591e-03 -1.12076849e-03 3.05787164e-03
9200 9.20000000e+02 2.85165641e-03 -1.06224488e-03 3.04307549e-03
9300 9.30000000e+02 2.74503184e-03 -9.92241432e-04 2.91885986e-03
9400 9.40000000e+02 2.78013851e-03 -9.90622095e-04 2.95135601e-03
9500 9.50000000e+02 2.66746059e-03 -1.01211527e-03 2.85302004e-03
9600 9.60000000e+02 2.62847170e-03 -9.07282520e-04 2.78065191e-03
9700 9.70000000e+02 2.57347664e-03 -8.99356673e-04 2.72610059e-03
9800 9.80000000e+02 2.69909878e-03 -1.07570481e-03 2.90555934e-03
9900 9.90000000e+02 2.73016654e-03 -1.15213520e-03 2.96331315e-03
10000 1.00000000e+03 2.85232742e-03 -1.21251901e-03 3.09935059e-03
10100 1.01000000e+03 2.84984661e-03 -1.33114716e-03 3.14540593e-03
10200 1.02000000e+03 2.80753663e-03 -1.46866322e-03 3.16847496e-03
10300 1.03000000e+03 3.02901119e-03 -1.70495128e-03 3.47588372e-03
10400 1.04000000e+03 2.88987276e-03 -1.66527857e-03 3.33534365e-03
10500 1.05000000e+03 2.88835890e-03 -1.63111871e-03 3.31710195e-03
10600 1.06000000e+03 2.86942348e-03 -1.52614701e-03 3.25003320e-03
10700 1.07000000e+03 2.83991080e-03 -1.33410480e-03 3.13766298e-03
10800 1.08000000e+03 2.74656480e-03 -1.28774997e-03 3.03346637e-03
10900 1.09000000e+03 2.73025944e-03 -1.37309637e-03 3.05609395e-03
11000 1.10000000e+03 2.67938245e-03 -1.29568356e-03 2.97622012e-03
11100 1.11000000e+03 2.74909707e-03 -1.23695529e-03 3.01456350e-03
11200 1.12000000e+03 2.83798017e-03 -1.34524435e-03 3.14067091e-03
11300 1.13000000e+03 2.96150520e-03 -1.29097421e-03 3.23065434e-03
11400 1.14000000e+03 3.00768693e-03 -1.32499542e-03 3.28660821e-03
11500 1.15000000e+03 3.02175595e-03 -1.33836141e-03 3.30487826e-03
11600 1.16000000e+03 2.84337834e-03 -1.19748455e-03 3.08525034e-03
11700 1.17000000e+03 2.78452947e-03 -1.16856885e-03 3.01979428e-03
11800 1.18000000e+03 2.69845524e-03 -1.26961200e-03 2.98220980e-03
11900 1.19000000e+03 2.74111517e-03 -1.19265553e-03 2.98933765e-03
12000 1.20000000e+03 2.63457978e-03 -1.06180646e-03 2.84050058e-03
12100 1.21000000e+03 2.60098930e-03 -9.86387488e-04 2.78174507e-03
12200 1.22000000e+03 2.58791726e-03 -1.09526026e-03 2.81014426e-03
12300 1.23000000e+03 2.54696142e-03 -1.12507329e-03 2.78438546e-03
12400 1.24000000e+03 2.47941306e-03 -1.19619886e-03 2.75288591e-03
12500 1.25000000e+03 2.41765473e-03 -9.30564012e-04 2.59056051e-03
12600 1.26000000e+03 2.29493389e-03 -7.56834284e-04 2.41650982e-03
12700 1.27000000e+03 2.20510224e-03 -6.87696564e-04 2.30984901e-03
12800 1.28000000e+03 2.25099223e-03 -9.37444973e-04 2.43839478e-03
12900 1.29000000e+03 2.30424781e-03 -1.02940074e-03 2.52373213e-03
13000 1.30000000e+03 2.25439761e-03 -9.34867887e-04 2.44055046e-03
13100 1.31000000e+03 2.35598558e-03 -1.09222182e-03 2.59684742e-03
13200 1.32000000e+03 2.29573296e-03 -1.16538990e-03 2.57459190e-03
13300 1.33000000e+03 2.18597893e-03 -1.13087392e-03 2.46117445e-03
13400 1.34000000e+03 2.13732431e-03 -1.03468855e-03 2.37460220e-03
13500 1.35000000e+03 2.22005416e-03 -1.17926765e-03 2.51382431e-03
13600 1.36000000e+03 2.31416407e-03 -1.35550741e-03 2.68193134e-03
13700 1.37000000e+03 2.28993804e-03 -1.23687484e-03 2.60262860e-03
13800 1.38000000e+03 2.31064041e-03 -1.52986613e-03 2.77120001e-03
13900 1.39000000e+03 2.48269667e-03 -1.41961104e-03 2.85990879e-03
14000 1.40000000e+03 2.36425549e-03 -1.32756226e-03 2.71148033e-03
14100 1.41000000e+03 2.47649383e-03 -1.33879890e-03 2.81520944e-03
14200 1.42000000e+03 2.50253640e-03 -1.25487254e-03 2.79953452e-03
14300 1.43000000e+03 2.39769951e-03 -1.08513900e-03 2.63182249e-03
14400 1.44000000e+03 2.30614701e-03 -9.33986041e-04 2.48810047e-03
14500 1.45000000e+03 2.44620070e-03 -1.04378595e-03 2.65958398e-03
14600 1.46000000e+03 2.41700606e-03 -1.09327631e-03 2.65276675e-03
14700 1.47000000e+03 2.49584485e-03 -1.09831279e-03 2.72681728e-03
14800 1.48000000e+03 2.49906094e-03 -1.10133272e-03 2.73097772e-03
14900 1.49000000e+03 2.44865008e-03 -1.04548503e-03 2.66250374e-03
15000 1.50000000e+03 2.42095953e-03 -1.20837556e-03 2.70577466e-03
15100 1.51000000e+03 2.50729104e-03 -1.33196544e-03 2.83912667e-03
15200 1.52000000e+03 2.45218258e-03 -1.18846062e-03 2.72500240e-03
15300 1.53000000e+03 2.37762043e-03 -1.29931956e-03 2.70948523e-03
15400 1.54000000e+03 2.45237513e-03 -1.34522177e-03 2.79709946e-03
15500 1.55000000e+03 2.40989123e-03 -1.18688762e-03 2.68631307e-03
15600 1.56000000e+03 2.53817555e-03 -1.11031230e-03 2.77040223e-03
15700 1.57000000e+03 2.42849113e-03 -9.33828647e-04 2.60184648e-03
15800 1.58000000e+03 2.44202930e-03 -1.00019446e-03 2.63891949e-03
15900 1.59000000e+03 2.49064458e-03 -1.10025727e-03 2.72284345e-03
16000 1.60000000e+03 2.56589288e-03 -1.33120606e-03 2.89066011e-03
16100 1.61000000e+03 2.73537170e-03 -1.41451263e-03 3.07946494e-03
16200 1.62000000e+03 2.74474779e-03 -1.36683392e-03 3.06624777e-03
16300 1.63000000e+03 2.87422584e-03 -1.49451615e-03 3.23956058e-03
16400 1.64000000e+03 2.79690651e-03 -1.40505924e-03 3.12999641e-03
16500 1.65000000e+03 2.71217478e-03 -1.24273472e-03 2.98333398e-03
16600 1.66000000e+03 2.77697784e-03 -1.22290244e-03 3.03431974e-03
16700 1.67000000e+03 2.75828782e-03 -1.20988744e-03 3.01197267e-03
16800 1.68000000e+03 2.71337666e-03 -1.12031843e-03 2.93556234e-03
16900 1.69000000e+03 2.61381082e-03 -1.22027192e-03 2.88462659e-03
17000 1.70000000e+03 2.61437148e-03 -1.22353307e-03 2.88651544e-03
17100 1.71000000e+03 2.61748070e-03 -1.15643314e-03 2.86156300e-03
17200 1.72000000e+03 2.48565152e-03 -1.23598892e-03 2.77599209e-03
17300 1.73000000e+03 2.41548335e-03 -1.29422511e-03 2.74036101e-03
17400 1.74000000e+03 2.43758573e-03 -1.27420470e-03 2.75053119e-03
17500 1.75000000e+03 2.44167238e-03 -1.21888448e-03 2.72900044e-03
17600 1.76000000e+03 2.38882401e-03 -1.24115299e-03 2.69201428e-03
17700 1.77000000e+03 2.47787754e-03 -1.19673333e-03 2.75173541e-03
17800 1.78000000e+03 2.51669157e-03 -1.15759694e-03 2.77015652e-03
17900 1.79000000e+03 2.67795101e-03 -1.18864037e-03 2.92989548e-03
18000 1.80000000e+03 2.68278178e-03 -1.26651709e-03 2.96671259e-03
18100 1.81000000e+03 2.73475563e-03 -1.48177566e-03 3.11039346e-03
18200 1.82000000e+03 2.90330290e-03 -1.53544545e-03 3.28432039e-03
18300 1.83000000e+03 2.96282000e-03 -1.42066122e-03 3.28581507e-03
18400 1.84000000e+03 2.99178110e-03 -1.44253974e-03 3.32139655e-03
18500 1.85000000e+03 2.89069256e-03 -1.25436555e-03 3.15111669e-03
18600 1.86000000e+03 3.01362225e-03 -1.44803978e-03 3.34346202e-03
18700 1.87000000e+03 2.92309560e-03 -1.56149687e-03 3.31402480e-03
18800 1.88000000e+03 2.87403283e-03 -1.63259078e-03 3.30536191e-03
18900 1.89000000e+03 2.82794097e-03 -1.62295939e-03 3.26055936e-03
19000 1.90000000e+03 2.76941108e-03 -1.48350303e-03 3.14172229e-03
19100 1.91000000e+03 2.72889598e-03 -1.42782275e-03 3.07986219e-03
19200 1.92000000e+03 2.68276292e-03 -1.50729192e-03 3.07719772e-03
19300 1.93000000e+03 2.66870344e-03 -1.53028464e-03 3.07632072e-03
19400 1.94000000e+03 2.58948398e-03 -1.40170311e-03 2.94452014e-03
19500 1.95000000e+03 2.51181540e-03 -1.29131950e-03 2.82430923e-03
19600 1.96000000e+03 2.68798228e-03 -1.54497242e-03 3.10035297e-03
19700 1.97000000e+03 2.66223471e-03 -1.40857906e-03 3.01190780e-03
19800 1.98000000e+03 2.60717236e-03 -1.49930699e-03 3.00753539e-03
19900 1.99000000e+03 2.61883647e-03 -1.65283156e-03 3.09679780e-03
20000 2.00000000e+03 2.53717043e-03 -1.47440669e-03 2.93446909e-03
20100 2.01000000e+03 2.56402488e-03 -1.56995107e-03 3.00648797e-03
20200 2.02000000e+03 2.48352787e-03 -1.49378309e-03 2.89815435e-03
20300 2.03000000e+03 2.58626882e-03 -1.68268848e-03 3.08548650e-03
20400 2.04000000e+03 2.52165017e-03 -1.51325448e-03 2.94086019e-03
20500 2.05000000e+03 2.52005388e-03 -1.65014621e-03 3.01225067e-03
20600 2.06000000e+03 2.46647303e-03 -1.54150219e-03 2.90855947e-03
20700 2.07000000e+03 2.56059156e-03 -1.66087551e-03 3.05207087e-03
20800 2.08000000e+03 2.62488984e-03 -1.80789572e-03 3.18724546e-03
20900 2.09000000e+03 2.50095781e-03 -1.62653043e-03 2.98335234e-03
21000 2.10000000e+03 2.43377453e-03 -1.52895565e-03 2.87418925e-03
21100 2.11000000e+03 2.45360401e-03 -1.76106999e-03 3.02018876e-03
21200 2.12000000e+03 2.59794062e-03 -1.89324305e-03 3.21460180e-03
21300 2.13000000e+03 2.57320120e-03 -1.83931750e-03 3.16298171e-03
21400 2.14000000e+03 2.55008182e-03 -1.72370567e-03 3.07799911e-03
21500 2.15000000e+03 2.46941065e-03 -1.50822417e-03 2.89356685e-03
21600 2.16000000e+03 2.47353455e-03 -1.72429346e-03 3.01522157e-03
21700 2.17000000e+03 2.64095655e-03 -1.83503400e-03 3.21589820e-03
21800 2.18000000e+03 2.54502660e-03 -1.69293513e-03 3.05666317e-03
21900 2.19000000e+03 2.63508805e-03 -1.69427553e-03 3.13277171e-03
22000 2.20000000e+03 2.65832758e-03 -1.64947077e-03 3.12849154e-03
22100 2.21000000e+03 2.56401580e-03 -1.44659844e-03 2.94394702e-03
22200 2.22000000e+03 2.54043145e-03 -1.42980856e-03 2.91515771e-03
22300 2.23000000e+03 2.54367152e-03 -1.36838795e-03 2.88838197e-03
22400 2.24000000e+03 2.70559685e-03 -1.36789680e-03 3.03173151e-03
22500 2.25000000e+03 2.71160086e-03 -1.34880701e-03 3.02854083e-03
22600 2.26000000e+03 2.73336656e-03 -1.27059710e-03 3.01425111e-03
22700 2.27000000e+03 2.70938664e-03 -1.38306199e-03 3.04197903e-03
22800 2.28000000e+03 2.95187812e-03 -1.45397987e-03 3.29053824e-03
22900 2.29000000e+03 2.92222737e-03 -1.50538457e-03 3.28718657e-03
23000 2.30000000e+03 3.01143713e-03 -1.63251162e-03 3.42547045e-03
23100 2.31000000e+03 2.96815298e-03 -1.58498320e-03 3.36483341e-03
23200 2.32000000e+03 3.00316280e-03 -1.74747431e-03 3.47457238e-03
23300 2.33000000e+03 2.89583788e-03 -1.53910043e-03 3.27943702e-03
23400 2.34000000e+03 2.78732087e-03 -1.33047975e-03 3.08858123e-03
23500 2.35000000e+03 2.84230476e-03 -1.41766621e-03 3.17623580e-03
23600 2.36000000e+03 2.92567397e-03 -1.41317048e-03 3.24909510e-03
23700 2.37000000e+03 2.86293146e-03 -1.58506143e-03 3.27242972e-03
23800 2.38000000e+03 2.83291610e-03 -1.55956740e-03 3.23383118e-03
23900 2.39000000e+03 2.90448149e-03 -1.56983163e-03 3.30157297e-03
24000 2.40000000e+03 2.98563763e-03 -1.41688483e-03 3.30478361e-03
24100 2.41000000e+03 2.82326178e-03 -1.17935729e-03 3.05968800e-03
24200 2.42000000e+03 2.79009971e-03 -1.10175926e-03 2.99975497e-03
24300 2.43000000e+03 2.55251443e-03 -1.01487245e-03 2.74687022e-03
24400 2.44000000e+03 2.52207345e-03 -8.71574972e-04 2.66842602e-03
24500 2.45000000e+03 2.62819417e-03 -1.11993030e-03 2.85685989e-03
24600 2.46000000e+03 2.59198132e-03 -1.04702171e-03 2.79546447e-03
24700 2.47000000e+03 2.52875127e-03 -8.80868873e-04 2.67778135e-03
24800 2.48000000e+03 2.56315223e-03 -8.73599784e-04 2.70793758e-03
24900 2.49000000e+03 2.52330862e-03 -7.81563751e-04 2.64157686e-03
25000 2.50000000e+03 2.55909795e-03 -8.14595551e-04 2.68561878e-03
