# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 5.08705620e-03 -4.10909718e-03 6.53932874e-03
100 1.00000000e+01 5.01716742e-03 -4.20539174e-03 6.54654784e-03
200 2.00000000e+01 4.96217096e-03 -4.06255666e-03 6.41307315e-03
300 3.00000000e+01 4.95437300e-03 -3.97321489e-03 6.35076754e-03
400 4.00000000e+01 4.81374003e-03 -3.54899652e-03 5.98059106e-03
500 5.00000000e+01 4.82245022e-03 -3.42297973e-03 5.91378190e-03
600 6.00000000e+01 4.75130975e-03 -3.24395578e-03 5.75310294e-03
700 7.00000000e+01 4.59714886e-03 -3.00836214e-03 5.49399858e-03
800 8.00000000e+01 4.66594100e-03 -3.26074660e-03 5.69240492e-03
900 9.00000000e+01 4.55756579e-03 -3.02905007e-03 5.47234413e-03
1000 1.00000000e+02 4.63976199e-03 -3.01838107e-03 5.53516175e-03
1100 1.10000000e+02 4.62400680e-03 -2.91575352e-03 5.46653981e-03
1200 1.20000000e+02 4.59170621e-03 -2.76892819e-03 5.36197065e-03
1300 1.30000000e+02 4.63348068e-03 -2.86256848e-03 5.44641548e-03
1400 1.40000000e+02 4.48541529e-03 -3.04901064e-03 5.42359809e-03
1500 1.50000000e+02 4.40713204e-03 -2.97602732e-03 5.31785215e-03
1600 1.60000000e+02 4.36094590e-03 -2.93948711e-03 5.25912859e-03
1700 1.70000000e+02 4.23995499e-03 -2.75561493e-03 5.05674123e-03
1800 1.80000000e+02 4.23948979e-03 -2.79987114e-03 5.08060549e-03
1900 1.90000000e+02 4.18188702e-03 -2.77540507e-03 5.01906887e-03
2000 2.00000000e+02 4.40312829e-03 -2.89893802e-03 5.27175307e-03
2100 2.10000000e+02 4.57824860e-03 -3.03192157e-03 5.49116642e-03
2200 2.20000000e+02 4.62815072e-03 -3.14993062e-03 5.59837852e-03
2300 2.30000000e+02 4.69680270e-03 -3.32084461e-03 5.75221388e-03
2400 2.40000000e+02 4.82834969e-03 -3.37345945e-03 5.89009247e-03
2500 2.50000000e+02 4.90250438e-03 -3.36149428e-03 5.94425715e-03
2600 2.60000000e+02 5.06267324e-03 -3.59578826e-03 6.20969835e-03
2700 2.70000000e+02 4.85074520e-03 -3.82925477e-03 6.18004216e-03
2800 2.80000000e+02 4.83175181e-03 -3.59664648e-03 6.02342854e-03
2900 2.90000000e+02 4.76302486e-03 -3.59637616e-03 5.96827675e-03
3000 3.00000000e+02 4.76819510e-03 -3.45171709e-03 5.88642806e-03
3100 3.10000000e+02 4.55449475e-03 -3.34146712e-03 5.64878969e-03
3200 3.20000000e+02 4.53601498e-03 -3.25856265e-03 5.58512869e-03
3300 3.30000000e+02 4.46812762e-03 -2.90976604e-03 5.33206366e-03
3400 3.40000000e+02 4.55955043e-03 -2.64459685e-03 5.27099542e-03
3500 3.50000000e+02 4.70673572e-03 -2.57319142e-03 5.36420313e-03
3600 3.60000000e+02 4.63005900e-03 -2.35860492e-03 5.19619703e-03
3700 3.70000000e+02 4.48706793e-03 -2.43838341e-03 5.10680842e-03
3800 3.80000000e+02 4.55978932e-03 -2.76231603e-03 5.33123517e-03
3900 3.90000000e+02 4.44266386e-03 -2.66101421e-03 5.17863484e-03
4000 4.00000000e+02 4.36635735e-03 -2.71098735e-03 5.13950668e-03
4100 4.10000000e+02 4.33641113e-03 -2.58455612e-03 5.04820679e-03
4200 4.20000000e+02 4.36007371e-03 -2.56433850e-03 5.05826796e-03
4300 4.30000000e+02 4.34739422e-03 -2.52948143e-03 5.02972293e-03
4400 4.40000000e+02 4.43987967e-03 -2.72972533e-03 5.21190290e-03
4500 4.50000000e+02 4.32175072e-03 -2.83980416e-03 5.17126841e-03
4600 4.60000000e+02 4.62666852e-03 -3.00056557e-03 5.51447689e-03
4700 4.70000000e+02 4.64355620e-03 -2.92405649e-03 5.48750586e-03
4800 4.80000000e+02 4.54341806e-03 -3.16414656e-03 5.53664801e-03
4900 4.90000000e+02 4.75761853e-03 -3.29804886e-03 5.78896022e-03
5000 5.00000000e+02 4.73731942e-03 -3.10882390e-03 5.66630227e-03
5100 5.10000000e+02 4.73756623e-03 -3.08546168e-03 5.65372510e-03
5200 5.20000000e+02 4.77152783e-03 -3.23003158e-03 5.76199461e-03
5300 5.30000000e+02 4.86794207e-03 -3.35004367e-03 5.90928529e-03
5400 5.40000000e+02 4.82346630e-03 -3.08766635e-03 5.72708570e-03
5500 5.50000000e+02 5.05656702e-03 -3.21389921e-03 5.99149549e-03
5600 5.60000000e+02 5.22520393e-03 -2.97220191e-03 6.01138423e-03
5700 5.70000000e+02 5.05993795e-03 -2.97839008e-03 5.87143760e-03
5800 5.80000000e+02 5.23915607e-03 -2.88160890e-03 5.97933326e-03
5900 5.90000000e+02 5.27396752e-03 -3.07754870e-03 6.10622955e-03
6000 6.00000000e+02 5.13408659e-03 -2.90317181e-03 5.89807186e-03
6100 6.10000000e+02 5.20678470e-03 -2.99583469e-03 6.00713179e-03
6200 6.20000000e+02 5.11594396e-03 -2.85196910e-03 5.85718451e-03
6300 6.30000000e+02 5.20576350e-03 -2.97546457e-03 5.99611233e-03
6400 6.40000000e+02 5.00647211e-03 -3.03684059e-03 5.85552421e-03
6500 6.50000000e+02 5.12939645e-03 -3.06338957e-03 5.97453459e-03
6600 6.60000000e+02 5.09533659e-03 -3.11250286e-03 5.97077290e-03
6700 6.70000000e+02 4.99578379e-03 -2.86702416e-03 5.76000722e-03
6800 6.80000000e+02 5.06338757e-03 -2.86932569e-03 5.81987316e-03
6900 6.90000000e+02 4.99057164e-03 -2.93734018e-03 5.79083523e-03
7000 7.00000000e+02 5.03027998e-03 -3.08402698e-03 5.90041855e-03
7100 7.10000000e+02 5.03309304e-03 -3.07924789e-03 5.90032144e-03
7200 7.20000000e+02 5.20232413e-03 -3.47814104e-03 6.25792629e-03
7300 7.30000000e+02 5.12911379e-03 -3.42551200e-03 6.16781491e-03
7400 7.40000000e+02 5.15268696e-03 -3.48572433e-03 6.22096914e-03
7500 7.50000000e+02 5.05360775e-03 -3.53475148e-03 6.16712407e-03
7600 7.60000000e+02 4.94207069e-03 -3.16977361e-03 5.87124582e-03
7700 7.70000000e+02 5.00909146e-03 -3.03262076e-03 5.85557734e-03
7800 7.80000000e+02 4.81897593e-03 -3.24043352e-03 5.80714546e-03
7900 7.90000000e+02 4.67255898e-03 -2.88968207e-03 5.49391208e-03
8000 8.00000000e+02 4.75533865e-03 -3.05496017e-03 5.65208168e-03
8100 8.10000000e+02 4.66843881e-03 -3.06825689e-03 5.58645874e-03
8200 8.20000000e+02 4.48241178e-03 -2.75368057e-03 5.26068171e-03
8300 8.30000000e+02 4.42952989e-03 -2.93830968e-03 5.31548670e-03
8400 8.40000000e+02 4.48170956e-03 -3.00895795e-03 5.39810602e-03
8500 8.50000000e+02 4.54186462e-03 -3.04280827e-03 5.46692019e-03
8600 8.60000000e+02 4.51385370e-03 -2.80724186e-03 5.31558859e-03
8700 8.70000000e+02 4.59203776e-03 -3.06478329e-03 5.52084300e-03
8800 8.80000000e+02 4.51944442e-03 -2.89038871e-03 5.36467379e-03
8900 8.90000000e+02 4.34309570e-03 -2.77796085e-03 5.15553554e-03
9000 9.00000000e+02 4.14437614e-03 -2.63958122e-03 4.91357737e-03
9100 9.10000000e+02 4.02225275e-03 -2.52732472e-03 4.75035655e-03
9200 9.20000000e+02 3.97673063e-03 -2.48474535e-03 4.68917327e-03
9300 9.30000000e+02 3.93122947e-03 -2.88221170e-03 4.87459839e-03
9400 9.40000000e+02 4.20539593e-03 -3.28484480e-03 5.33624965e-03
9500 9.50000000e+02 4.30518156e-03 -3.01165949e-03 5.25401571e-03
9600 9.60000000e+02 4.24498739e-03 -3.15479678e-03 5.28891867e-03
9700 9.70000000e+02 4.41190321e-03 -3.34845739e-03 5.53868729e-03
9800 9.80000000e+02 4.51632217e-03 -3.55938845e-03 5.75034017e-03
9900 9.90000000e+02 4.62590996e-03 -3.29516619e-03 5.67953899e-03
10000 1.00000000e+03 4.65109060e-03 -3.27892019e-03 5.69069076e-03
10100 1.01000000e+03 4.69864951e-03 -3.42716719e-03 5.81573574e-03
10200 1.02000000e+03 4.75306902e-03 -3.23780370e-03 5.75109015e-03
10300 1.03000000e+03 4.88750637e-03 -3.30957980e-03 5.90262966e-03
10400 1.04000000e+03 4.87566832e-03 -3.03797843e-03 5.74468925e-03
10500 1.05000000e+03 4.89660539e-03 -2.89582997e-03 5.68881143e-03
