# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 3.55043053e-03 -2.89240247e-03 4.57947038e-03
100 1.00000000e+01 3.45979561e-03 -2.87429290e-03 4.49797125e-03
200 2.00000000e+01 3.43051879e-03 -2.97644478e-03 4.54177088e-03
300 3.00000000e+01 3.36704915e-03 -2.70452863e-03 4.31873767e-03
400 4.00000000e+01 3.26998904e-03 -2.82218889e-03 4.31944192e-03
500 5.00000000e+01 3.32382601e-03 -2.63443473e-03 4.24123398e-03
600 6.00000000e+01 3.23420623e-03 -2.30681640e-03 3.97259259e-03
700 7.00000000e+01 3.19589139e-03 -2.11185496e-03 3.83062047e-03
800 8.00000000e+01 3.14845750e-03 -1.95413362e-03 3.70559345e-03
900 9.00000000e+01 3.07068042e-03 -2.00805557e-03 3.66897335e-03
1000 1.00000000e+02 3.05034756e-03 -1.88739714e-03 3.58704449e-03
1100 1.10000000e+02 2.96342187e-03 -1.82100665e-03 3.47820850e-03
1200 1.20000000e+02 3.08575667e-03 -2.09069788e-03 3.72731966e-03
1300 1.30000000e+02 3.13738221e-03 -1.96551811e-03 3.70221941e-03
1400 1.40000000e+02 3.04599502e-03 -1.88185135e-03 3.58042598e-03
1500 1.50000000e+02 3.01446393e-03 -1.80996594e-03 3.51610146e-03
1600 1.60000000e+02 3.01305926e-03 -1.76234730e-03 3.49061515e-03
1700 1.70000000e+02 3.04945814e-03 -1.80195773e-03 3.54206813e-03
1800 1.80000000e+02 3.00843874e-03 -1.67498924e-03 3.44329676e-03
1900 1.90000000e+02 3.03264381e-03 -1.62145123e-03 3.43889991e-03
2000 2.00000000e+02 2.98290211e-03 -1.65959029e-03 3.41349453e-03
2100 2.10000000e+02 3.10464739e-03 -1.70411123e-03 3.54158587e-03
2200 2.20000000e+02 3.02670407e-03 -1.70235801e-03 3.47260138e-03
2300 2.30000000e+02 2.88738753e-03 -1.58400845e-03 3.29334018e-03
2400 2.40000000e+02 2.81143817e-03 -1.75743364e-03 3.31553278e-03
2500 2.50000000e+02 2.72714044e-03 -1.69047737e-03 3.20858360e-03
2600 2.60000000e+02 2.65174499e-03 -1.49691151e-03 3.04507727e-03
2700 2.70000000e+02 2.51177489e-03 -1.42295111e-03 2.88683269e-03
2800 2.80000000e+02 2.51589040e-03 -1.57732866e-03 2.96945622e-03
2900 2.90000000e+02 2.60321517e-03 -1.61161751e-03 3.06170544e-03
3000 3.00000000e+02 2.64653238e-03 -1.56586745e-03 3.07507309e-03
3100 3.10000000e+02 2.81188800e-03 -1.62145728e-03 3.24589554e-03
3200 3.20000000e+02 2.94774841e-03 -1.58691267e-03 3.34776231e-03
3300 3.30000000e+02 2.99104163e-03 -1.50919764e-03 3.35022500e-03
3400 3.40000000e+02 3.05320229e-03 -1.42258045e-03 3.36834965e-03
3500 3.50000000e+02 3.23686399e-03 -1.56176346e-03 3.59393846e-03
3600 3.60000000e+02 3.19197378e-03 -2.02238909e-03 3.77872389e-03
3700 3.70000000e+02 3.12357466e-03 -2.11348454e-03 3.77141029e-03
3800 3.80000000e+02 3.26317572e-03 -2.12262687e-03 3.89279599e-03
3900 3.90000000e+02 3.55769019e-03 -2.26110360e-03 4.21541800e-03
4000 4.00000000e+02 3.58893140e-03 -2.10932898e-03 4.16289531e-03
4100 4.10000000e+02 3.64015391e-03 -2.05785222e-03 4.18156385e-03
4200 4.20000000e+02 3.67497746e-03 -1.93943619e-03 4.15534259e-03
4300 4.30000000e+02 3.60672362e-03 -2.14209291e-03 4.19487989e-03
4400 4.40000000e+02 3.55129922e-03 -2.09490792e-03 4.12314993e-03
4500 4.50000000e+02 3.50893103e-03 -2.32530921e-03 4.20947263e-03
4600 4.60000000e+02 3.37374955e-03 -2.05234019e-03 3.94896016e-03
4700 4.70000000e+02 3.41200689e-03 -1.93178817e-03 3.92091782e-03
4800 4.80000000e+02 3.39556835e-03 -1.90123601e-03 3.89160414e-03
4900 4.90000000e+02 3.40422988e-03 -1.79816759e-03 3.84995945e-03
