# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 2.62845447e-03 -2.16238573e-03 3.40362821e-03
100 1.00000000e+01 2.59636552e-03 -1.98076176e-03 3.26565936e-03
200 2.00000000e+01 2.61278171e-03 -2.39456585e-03 3.54408999e-03
300 3.00000000e+01 2.50631059e-03 -2.13877857e-03 3.29483938e-03
400 4.00000000e+01 2.46565160e-03 -1.97732728e-03 3.16057922e-03
500 5.00000000e+01 2.41822586e-03 -2.04715086e-03 3.16838176e-03
600 6.00000000e+01 2.39700265e-03 -1.98530685e-03 3.11240502e-03
700 7.00000000e+01 2.41156481e-03 -1.87306711e-03 3.05352669e-03
800 8.00000000e+01 2.34641740e-03 -1.63779850e-03 2.86147839e-03
900 9.00000000e+01 2.28298688e-03 -1.44018815e-03 2.69929084e-03
1000 1.00000000e+02 2.26553413e-03 -1.34825485e-03 2.63636796e-03
1100 1.10000000e+02 2.26926338e-03 -1.25783880e-03 2.59455482e-03
1200 1.20000000e+02 2.11240444e-03 -1.21951522e-03 2.43915352e-03
1300 1.30000000e+02 2.06149952e-03 -1.21553312e-03 2.39317802e-03
1400 1.40000000e+02 1.99896400e-03 -1.05837802e-03 2.26186231e-03
1500 1.50000000e+02 2.05066800e-03 -1.11880386e-03 2.33601398e-03
1600 1.60000000e+02 2.06655893e-03 -1.27360935e-03 2.42749801e-03
1700 1.70000000e+02 2.08922965e-03 -1.15001842e-03 2.38483183e-03
1800 1.80000000e+02 2.11035600e-03 -1.24143623e-03 2.44842120e-03
1900 1.90000000e+02 2.07418692e-03 -1.18456234e-03 2.38860615e-03
2000 2.00000000e+02 2.03308510e-03 -1.13413320e-03 2.32802344e-03
2100 2.10000000e+02 2.03005807e-03 -1.05713517e-03 2.28881422e-03
2200 2.20000000e+02 2.07010563e-03 -1.08461687e-03 2.33703468e-03
2300 2.30000000e+02 2.19940394e-03 -1.07569795e-03 2.44836757e-03
2400 2.40000000e+02 2.22546794e-03 -1.10301783e-03 2.48381881e-03
2500 2.50000000e+02 2.26470199e-03 -1.04182132e-03 2.49284311e-03
2600 2.60000000e+02 2.23680632e-03 -1.04340946e-03 2.46819890e-03
2700 2.70000000e+02 2.20391992e-03 -9.95269744e-04 2.41822764e-03
2800 2.80000000e+02 2.09434610e-03 -9.42034239e-04 2.29645686e-03
2900 2.90000000e+02 2.16671708e-03 -9.02174797e-04 2.34703691e-03
3000 3.00000000e+02 2.16362928e-03 -9.61629907e-04 2.36770432e-03
3100 3.10000000e+02 2.07551592e-03 -8.34320905e-04 2.23693042e-03
3200 3.20000000e+02 1.99895212e-03 -8.82341003e-04 2.18502523e-03
3300 3.30000000e+02 1.92782655e-03 -7.74760905e-04 2.07768373e-03
3400 3.40000000e+02 2.05375976e-03 -9.61405342e-04 2.26764843e-03
3500 3.50000000e+02 1.94912136e-03 -9.32793715e-04 2.16082813e-03
3600 3.60000000e+02 1.85854966e-03 -8.97085993e-04 2.06372724e-03
3700 3.70000000e+02 1.87563803e-03 -7.62224896e-04 2.02459991e-03
3800 3.80000000e+02 1.80809526e-03 -6.70645561e-04 1.92846414e-03
3900 3.90000000e+02 1.74847618e-03 -5.86838578e-04 1.84432873e-03
4000 4.00000000e+02 1.69734017e-03 -6.90686866e-04 1.83248792e-03
4100 4.10000000e+02 1.71934743e-03 -5.91822725e-04 1.81835358e-03
4200 4.20000000e+02 1.77325984e-03 -5.81409666e-04 1.86614245e-03
4300 4.30000000e+02 1.87486247e-03 -6.20246283e-04 1.97479486e-03
4400 4.40000000e+02 1.84246770e-03 -5.99840074e-04 1.93765201e-03
4500 4.50000000e+02 2.02571996e-03 -8.34819512e-04 2.19099635e-03
4600 4.60000000e+02 2.10213172e-03 -8.74658115e-04 2.27683653e-03
4700 4.70000000e+02 2.09036004e-03 -8.33214086e-04 2.25030016e-03
4800 4.80000000e+02 2.13782419e-03 -8.62257381e-04 2.30516379e-03
4900 4.90000000e+02 2.13075592e-03 -8.18576198e-04 2.28258358e-03
5000 5.00000000e+02 2.05410947e-03 -8.09827063e-04 2.20798224e-03
5100 5.10000000e+02 2.06438918e-03 -7.82884890e-04 2.20785222e-03
5200 5.20000000e+02 2.10815622e-03 -8.31125944e-04 2.26607435e-03
5300 5.30000000e+02 2.10742233e-03 -7.97326909e-04 2.25321084e-03
5400 5.40000000e+02 2.17192085e-03 -9.79199540e-04 2.38245082e-03
5500 5.50000000e+02 2.34988658e-03 -1.11562922e-03 2.60126805e-03
5600 5.60000000e+02 2.24016071e-03 -1.14047923e-03 2.51376469e-03
5700 5.70000000e+02 2.24145455e-03 -1.23594096e-03 2.55962274e-03
5800 5.80000000e+02 2.21777987e-03 -1.17368554e-03 2.50920013e-03
5900 5.90000000e+02 2.26474740e-03 -1.18357618e-03 2.55537343e-03
6000 6.00000000e+02 2.43533193e-03 -1.34652527e-03 2.78279930e-03
6100 6.10000000e+02 2.39524245e-03 -1.20985438e-03 2.68345561e-03
6200 6.20000000e+02 2.40629283e-03 -1.26568309e-03 2.71885985e-03
6300 6.30000000e+02 2.48804502e-03 -1.17178599e-03 2.75017280e-03
6400 6.40000000e+02 2.50862539e-03 -1.29119575e-03 2.82141592e-03
6500 6.50000000e+02 2.38667987e-03 -1.15537958e-03 2.65163021e-03
6600 6.60000000e+02 2.36548739e-03 -1.10132573e-03 2.60930048e-03
6700 6.70000000e+02 2.28432682e-03 -1.14544597e-03 2.55542472e-03
6800 6.80000000e+02 2.22742651e-03 -1.15350611e-03 2.50838697e-03
6900 6.90000000e+02 2.15193140e-03 -1.00581080e-03 2.37538715e-03
7000 7.00000000e+02 2.07735738e-03 -1.04599202e-03 2.32583597e-03
7100 7.10000000e+02 2.13800604e-03 -1.20019878e-03 2.45184561e-03
7200 7.20000000e+02 2.09817360e-03 -1.35815609e-03 2.49938401e-03
7300 7.30000000e+02 2.18038820e-03 -1.22175529e-03 2.49935565e-03
7400 7.40000000e+02 1.95775623e-03 -1.40851049e-03 2.41178591e-03
7500 7.50000000e+02 2.08674115e-03 -1.36026484e-03 2.49094542e-03
7600 7.60000000e+02 2.10421672e-03 -1.34239369e-03 2.49594648e-03
7700 7.70000000e+02 2.18293304e-03 -1.36438699e-03 2.57424717e-03
7800 7.80000000e+02 2.15394655e-03 -1.21517701e-03 2.47308328e-03
7900 7.90000000e+02 2.09976058e-03 -1.13009475e-03 2.38455627e-03
8000 8.00000000e+02 2.02861778e-03 -9.74066206e-04 2.25035443e-03
8100 8.10000000e+02 2.05443753e-03 -1.06482115e-03 2.31399171e-03
