# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 7.84502714e-04 -7.02352379e-04 1.05296884e-03
100 1.00000000e+01 7.91586004e-04 -6.53689145e-04 1.02660504e-03
200 2.00000000e+01 7.95148080e-04 -6.91776630e-04 1.05395226e-03
300 3.00000000e+01 8.54061451e-04 -7.10872700e-04 1.11119798e-03
400 4.00000000e+01 7.90836581e-04 -7.65717239e-04 1.10079307e-03
500 5.00000000e+01 8.07625009e-04 -7.41103082e-04 1.09612587e-03
600 6.00000000e+01 7.13378540e-04 -7.69416220e-04 1.04924271e-03
700 7.00000000e+01 6.36451878e-04 -7.21932855e-04 9.62423004e-04
800 8.00000000e+01 6.73152623e-04 -7.18158146e-04 9.84319855e-04
900 9.00000000e+01 6.77616859e-04 -6.47583860e-04 9.37299026e-04
1000 1.00000000e+02 6.28192967e-04 -7.42247503e-04 9.72397943e-04
1100 1.10000000e+02 6.41894061e-04 -6.65312982e-04 9.24483288e-04
1200 1.20000000e+02 6.67607645e-04 -6.89642678e-04 9.59847379e-04
1300 1.30000000e+02 6.63099694e-04 -6.12487551e-04 9.02686105e-04
1400 1.40000000e+02 7.17688818e-04 -6.95549650e-04 9.99433117e-04
1500 1.50000000e+02 6.99631637e-04 -6.05524692e-04 9.25280812e-04
1600 1.60000000e+02 6.82473590e-04 -5.35163097e-04 8.67277200e-04
1700 1.70000000e+02 6.66355249e-04 -4.74922330e-04 8.18279009e-04
1800 1.80000000e+02 6.50294358e-04 -4.21957229e-04 7.75197172e-04
1900 1.90000000e+02 6.66849781e-04 -4.99288726e-04 8.33053337e-04
2000 2.00000000e+02 6.50326605e-04 -4.28222062e-04 7.78651929e-04
2100 2.10000000e+02 6.33067102e-04 -3.70780588e-04 7.33656732e-04
2200 2.20000000e+02 6.14298391e-04 -3.21639760e-04 6.93407996e-04
2300 2.30000000e+02 5.94535202e-04 -2.78543885e-04 6.56550685e-04
2400 2.40000000e+02 5.74184291e-04 -2.40266818e-04 6.22427300e-04
2500 2.50000000e+02 5.53618185e-04 -2.05997567e-04 5.90701356e-04
2600 2.60000000e+02 5.32957551e-04 -1.75143752e-04 5.60998293e-04
2700 2.70000000e+02 5.12352854e-04 -1.47269573e-04 5.33098278e-04
2800 2.80000000e+02 4.97494126e-04 -2.01885661e-04 5.36896848e-04
2900 2.90000000e+02 5.70957840e-04 -1.34304923e-04 5.86541275e-04
3000 3.00000000e+02 5.31965285e-04 -9.98445103e-05 5.41254090e-04
3100 3.10000000e+02 5.17516921e-04 -1.64451776e-04 5.43017633e-04
3200 3.20000000e+02 4.99038782e-04 -1.37311057e-04 5.17584807e-04
3300 3.30000000e+02 4.80396731e-04 -1.13521208e-04 4.93627475e-04
3400 3.40000000e+02 4.61600663e-04 -9.21973406e-05 4.70718091e-04
3500 3.50000000e+02 4.42883174e-04 -7.28757223e-05 4.48838921e-04
3600 3.60000000e+02 4.24419879e-04 -5.53373320e-05 4.28012212e-04
3700 3.70000000e+02 4.06261970e-04 -3.93640003e-05 4.08164566e-04
3800 3.80000000e+02 3.88443354e-04 -2.47589905e-05 3.89231610e-04
3900 3.90000000e+02 3.71004367e-04 -1.14873510e-05 3.71182165e-04
