# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 1.70647865e-03 -1.43236923e-03 2.22794771e-03
100 1.00000000e+01 1.69397786e-03 -1.31722516e-03 2.14584322e-03
200 2.00000000e+01 1.61524792e-03 -1.51410117e-03 2.21393952e-03
300 3.00000000e+01 1.66897755e-03 -1.56600203e-03 2.28863462e-03
400 4.00000000e+01 1.61914586e-03 -1.50039932e-03 2.20744907e-03
500 5.00000000e+01 1.60010485e-03 -1.32904726e-03 2.08007263e-03
600 6.00000000e+01 1.57766964e-03 -1.26289914e-03 2.02087994e-03
700 7.00000000e+01 1.51506532e-03 -1.36707630e-03 2.04066669e-03
800 8.00000000e+01 1.46738754e-03 -1.27680902e-03 1.94511374e-03
900 9.00000000e+01 1.49003079e-03 -1.16948585e-03 1.89417236e-03
1000 1.00000000e+02 1.45423727e-03 -1.11396948e-03 1.83186627e-03
1100 1.10000000e+02 1.42955489e-03 -9.63052385e-04 1.72368706e-03
1200 1.20000000e+02 1.36453949e-03 -9.89395892e-04 1.68548873e-03
1300 1.30000000e+02 1.33559445e-03 -8.69827112e-04 1.59386692e-03
1400 1.40000000e+02 1.36537338e-03 -8.27753160e-04 1.59669025e-03
1500 1.50000000e+02 1.31726358e-03 -7.14246708e-04 1.49844309e-03
1600 1.60000000e+02 1.27116591e-03 -6.22298568e-04 1.41531561e-03
1700 1.70000000e+02 1.23667065e-03 -6.68171968e-04 1.40563440e-03
1800 1.80000000e+02 1.24479516e-03 -6.47757493e-04 1.40324793e-03
1900 1.90000000e+02 1.20535004e-03 -5.66288480e-04 1.33174748e-03
2000 2.00000000e+02 1.16526789e-03 -4.93478496e-04 1.26545260e-03
2100 2.10000000e+02 1.12517131e-03 -4.27356455e-04 1.20359629e-03
2200 2.20000000e+02 1.08487252e-03 -3.66898719e-04 1.14523494e-03
2300 2.30000000e+02 1.03397993e-03 -4.66355501e-04 1.13428478e-03
2400 2.40000000e+02 9.95279523e-04 -3.87285225e-04 1.06797527e-03
2500 2.50000000e+02 9.55995405e-04 -3.24971217e-04 1.00971952e-03
2600 2.60000000e+02 1.10150885e-03 -4.18517768e-04 1.17833734e-03
2700 2.70000000e+02 1.11189520e-03 -4.00445337e-04 1.18180683e-03
2800 2.80000000e+02 9.99680255e-04 -4.61097894e-04 1.10089594e-03
2900 2.90000000e+02 1.04856479e-03 -3.97612603e-04 1.12142049e-03
3000 3.00000000e+02 1.01198570e-03 -3.29709321e-04 1.06434172e-03
