# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 4.47240565e-03 -3.62241920e-03 5.75537429e-03
100 1.00000000e+01 4.41422779e-03 -3.69397574e-03 5.75594161e-03
200 2.00000000e+01 4.37666429e-03 -3.52127268e-03 5.61734382e-03
300 3.00000000e+01 4.26082825e-03 -3.47829610e-03 5.50029101e-03
400 4.00000000e+01 4.27512499e-03 -3.31533537e-03 5.41000391e-03
500 5.00000000e+01 4.19578049e-03 -2.97036697e-03 5.14078339e-03
600 6.00000000e+01 4.17412305e-03 -2.83603743e-03 5.04642562e-03
700 7.00000000e+01 4.19887342e-03 -2.76915496e-03 5.02978699e-03
800 8.00000000e+01 3.98814585e-03 -2.55213678e-03 4.73483996e-03
900 9.00000000e+01 4.05931287e-03 -2.86172703e-03 4.96663896e-03
1000 1.00000000e+02 4.02197335e-03 -2.60919658e-03 4.79418152e-03
1100 1.10000000e+02 3.99332121e-03 -2.56540300e-03 4.74635722e-03
1200 1.20000000e+02 3.95726133e-03 -2.41870037e-03 4.63789055e-03
1300 1.30000000e+02 3.96503555e-03 -2.38605542e-03 4.62760925e-03
1400 1.40000000e+02 3.90851218e-03 -2.19863583e-03 4.48446953e-03
1500 1.50000000e+02 4.07633558e-03 -2.48298817e-03 4.77302232e-03
1600 1.60000000e+02 4.01874026e-03 -2.38565099e-03 4.67350018e-03
1700 1.70000000e+02 3.76254227e-03 -2.57214578e-03 4.55770318e-03
1800 1.80000000e+02 3.79501050e-03 -2.37491215e-03 4.47686413e-03
1900 1.90000000e+02 3.72430822e-03 -2.41162535e-03 4.43693684e-03
2000 2.00000000e+02 3.54160229e-03 -2.35232664e-03 4.25163350e-03
2100 2.10000000e+02 3.54419276e-03 -2.30475259e-03 4.22766920e-03
2200 2.20000000e+02 3.57781793e-03 -2.39654863e-03 4.30630079e-03
2300 2.30000000e+02 3.70455720e-03 -2.29004677e-03 4.35523343e-03
2400 2.40000000e+02 3.92321683e-03 -2.37838365e-03 4.58784689e-03
2500 2.50000000e+02 3.97035619e-03 -2.55467021e-03 4.72123587e-03
2600 2.60000000e+02 3.94320022e-03 -2.57781008e-03 4.71104371e-03
2700 2.70000000e+02 4.17811330e-03 -2.99183978e-03 5.13884579e-03
2800 2.80000000e+02 4.16884152e-03 -2.88464478e-03 5.06955769e-03
2900 2.90000000e+02 4.25561843e-03 -2.93175108e-03 5.16773187e-03
3000 3.00000000e+02 4.45734197e-03 -3.09962593e-03 5.42914159e-03
3100 3.10000000e+02 4.44856239e-03 -3.04174004e-03 5.38905278e-03
3200 3.20000000e+02 4.32974845e-03 -3.06707202e-03 5.30600155e-03
3300 3.30000000e+02 4.08222154e-03 -3.11713736e-03 5.13625135e-03
3400 3.40000000e+02 4.03049123e-03 -3.10522411e-03 5.08795404e-03
3500 3.50000000e+02 4.15239390e-03 -2.96210870e-03 5.10063359e-03
3600 3.60000000e+02 4.04762989e-03 -2.76329531e-03 4.90092937e-03
3700 3.70000000e+02 3.97937465e-03 -2.66463403e-03 4.78912279e-03
3800 3.80000000e+02 3.92120564e-03 -2.47502234e-03 4.63698062e-03
3900 3.90000000e+02 3.95406317e-03 -2.39929510e-03 4.62506568e-03
4000 4.00000000e+02 4.00128262e-03 -2.06277403e-03 4.50169960e-03
4100 4.10000000e+02 3.89629975e-03 -1.96732511e-03 4.36480467e-03
4200 4.20000000e+02 3.87579761e-03 -1.71302236e-03 4.23748189e-03
4300 4.30000000e+02 3.80256493e-03 -1.70459028e-03 4.16714867e-03
4400 4.40000000e+02 3.78704653e-03 -1.86869665e-03 4.22300232e-03
4500 4.50000000e+02 3.85093223e-03 -1.87106279e-03 4.28141975e-03
4600 4.60000000e+02 3.94542888e-03 -1.95317110e-03 4.40241824e-03
4700 4.70000000e+02 3.73761728e-03 -2.03579641e-03 4.25608388e-03
4800 4.80000000e+02 3.79511085e-03 -2.17238092e-03 4.37288294e-03
4900 4.90000000e+02 3.77101614e-03 -2.05196068e-03 4.29314632e-03
5000 5.00000000e+02 3.85066308e-03 -1.98063417e-03 4.33018682e-03
5100 5.10000000e+02 3.78986844e-03 -1.84378540e-03 4.21457559e-03
5200 5.20000000e+02 3.88851063e-03 -2.08565290e-03 4.41253476e-03
