# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 6.00903202e-03 -4.83911345e-03 7.71527607e-03
100 1.00000000e+01 5.91131346e-03 -4.92737070e-03 7.69562271e-03
200 2.00000000e+01 5.81409037e-03 -4.67807567e-03 7.46244188e-03
300 3.00000000e+01 5.79633052e-03 -4.51398082e-03 7.34666389e-03
400 4.00000000e+01 5.75840473e-03 -4.27506957e-03 7.17185087e-03
500 5.00000000e+01 5.67789376e-03 -3.98136815e-03 6.93467879e-03
600 6.00000000e+01 5.83244301e-03 -4.06684121e-03 7.11031567e-03
700 7.00000000e+01 5.60729858e-03 -3.89823131e-03 6.82920235e-03
800 8.00000000e+01 5.56481816e-03 -3.93543439e-03 6.81577912e-03
900 9.00000000e+01 5.53007051e-03 -3.70638585e-03 6.65724988e-03
1000 1.00000000e+02 5.48299123e-03 -3.46879242e-03 6.48812096e-03
1100 1.10000000e+02 5.41632017e-03 -3.63700744e-03 6.52413575e-03
1200 1.20000000e+02 5.23435604e-03 -3.71038890e-03 6.41603218e-03
1300 1.30000000e+02 5.22700883e-03 -3.59629071e-03 6.34467716e-03
1400 1.40000000e+02 5.18744113e-03 -3.54330894e-03 6.28208434e-03
1500 1.50000000e+02 5.15654776e-03 -3.63705191e-03 6.31016097e-03
1600 1.60000000e+02 5.25532197e-03 -3.63974227e-03 6.39266242e-03
1700 1.70000000e+02 5.40570309e-03 -3.68122105e-03 6.54010813e-03
1800 1.80000000e+02 5.55696245e-03 -3.99568677e-03 6.84436589e-03
1900 1.90000000e+02 5.73730422e-03 -4.08253074e-03 7.04157063e-03
2000 2.00000000e+02 5.68657927e-03 -3.98505619e-03 6.94390788e-03
2100 2.10000000e+02 5.89667680e-03 -4.13107825e-03 7.19976422e-03
2200 2.20000000e+02 6.10377965e-03 -4.61936276e-03 7.65471348e-03
2300 2.30000000e+02 5.88535564e-03 -4.40170104e-03 7.34931174e-03
2400 2.40000000e+02 5.75547572e-03 -4.42384509e-03 7.25919460e-03
2500 2.50000000e+02 5.76807139e-03 -4.50018793e-03 7.31589633e-03
2600 2.60000000e+02 5.62628033e-03 -4.19244170e-03 7.01652319e-03
2700 2.70000000e+02 5.59216458e-03 -3.75012681e-03 6.73318319e-03
2800 2.80000000e+02 5.57996659e-03 -3.37688625e-03 6.52222261e-03
2900 2.90000000e+02 5.54663502e-03 -3.37736309e-03 6.49397732e-03
3000 3.00000000e+02 5.41485753e-03 -3.22086527e-03 6.30036945e-03
3100 3.10000000e+02 5.62776905e-03 -3.84835061e-03 6.81774060e-03
3200 3.20000000e+02 5.51669020e-03 -3.52751743e-03 6.54807224e-03
3300 3.30000000e+02 5.45048388e-03 -3.51305050e-03 6.48454303e-03
3400 3.40000000e+02 5.56408148e-03 -3.47285671e-03 6.55894324e-03
3500 3.50000000e+02 5.45151066e-03 -3.28619988e-03 6.36538122e-03
3600 3.60000000e+02 5.46669355e-03 -3.61700961e-03 6.55495972e-03
3700 3.70000000e+02 5.53318672e-03 -3.59215168e-03 6.59694694e-03
3800 3.80000000e+02 5.63390274e-03 -3.65656056e-03 6.71649426e-03
3900 3.90000000e+02 5.72040631e-03 -4.05612448e-03 7.01250270e-03
4000 4.00000000e+02 5.62352687e-03 -4.02541924e-03 6.91578300e-03
4100 4.10000000e+02 5.76451002e-03 -4.18044627e-03 7.12079397e-03
4200 4.20000000e+02 5.56931691e-03 -4.25789738e-03 7.01049078e-03
4300 4.30000000e+02 5.70035027e-03 -4.24767146e-03 7.10891736e-03
4400 4.40000000e+02 5.54786809e-03 -4.29652911e-03 7.01705085e-03
4500 4.50000000e+02 5.51980082e-03 -3.99487698e-03 6.81375397e-03
4600 4.60000000e+02 5.60669880e-03 -3.92636796e-03 6.84481094e-03
4700 4.70000000e+02 5.86768147e-03 -3.97765590e-03 7.08882446e-03
4800 4.80000000e+02 6.09340658e-03 -4.14170977e-03 7.36772445e-03
4900 4.90000000e+02 5.98571450e-03 -4.06265492e-03 7.23422027e-03
5000 5.00000000e+02 6.20129798e-03 -3.95603012e-03 7.35569649e-03
5100 5.10000000e+02 6.19437080e-03 -3.91387008e-03 7.32725109e-03
5200 5.20000000e+02 6.17734017e-03 -3.91935371e-03 7.31579559e-03
5300 5.30000000e+02 6.06794329e-03 -3.57666006e-03 7.04360937e-03
5400 5.40000000e+02 6.20932365e-03 -3.52883292e-03 7.14201386e-03
5500 5.50000000e+02 6.15515327e-03 -3.53882648e-03 7.09994399e-03
5600 5.60000000e+02 6.08312245e-03 -3.53980809e-03 7.03808356e-03
5700 5.70000000e+02 5.99110126e-03 -3.65719828e-03 7.01914479e-03
5800 5.80000000e+02 6.13860367e-03 -3.80694773e-03 7.22324761e-03
5900 5.90000000e+02 6.17363537e-03 -4.24223905e-03 7.49068527e-03
6000 6.00000000e+02 6.19013608e-03 -4.20459686e-03 7.48307553e-03
6100 6.10000000e+02 6.19006716e-03 -4.30010492e-03 7.53709717e-03
6200 6.20000000e+02 6.03674259e-03 -3.98020353e-03 7.23078704e-03
6300 6.30000000e+02 6.04905467e-03 -3.78389098e-03 7.13504684e-03
6400 6.40000000e+02 5.98609541e-03 -3.76959587e-03 7.07412124e-03
6500 6.50000000e+02 5.82114235e-03 -3.72367748e-03 6.91024400e-03
6600 6.60000000e+02 5.65807428e-03 -3.81028769e-03 6.82144390e-03
6700 6.70000000e+02 5.48586529e-03 -3.73036670e-03 6.63402997e-03
6800 6.80000000e+02 5.31434361e-03 -3.93426046e-03 6.61215951e-03
