# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 5.39438147e-03 -4.35243547e-03 6.93130911e-03
100 1.00000000e+01 5.30789141e-03 -4.50590299e-03 6.96253352e-03
200 2.00000000e+01 5.25724841e-03 -4.23790561e-03 6.75266650e-03
300 3.00000000e+01 5.23659680e-03 -4.24220087e-03 6.73930369e-03
400 4.00000000e+01 5.12809306e-03 -3.75425769e-03 6.35545351e-03
500 5.00000000e+01 5.12679806e-03 -3.61301098e-03 6.27199384e-03
600 6.00000000e+01 5.07960143e-03 -3.35262297e-03 6.08624937e-03
700 7.00000000e+01 5.10984659e-03 -3.54436343e-03 6.21876550e-03
800 8.00000000e+01 4.97274380e-03 -3.36766010e-03 6.00577351e-03
900 9.00000000e+01 4.97015752e-03 -3.32306465e-03 5.97873101e-03
1000 1.00000000e+02 4.92219301e-03 -3.28863459e-03 5.91972140e-03
1100 1.10000000e+02 4.82465699e-03 -3.03182611e-03 5.69818258e-03
1200 1.20000000e+02 4.95056575e-03 -3.08766752e-03 5.83453442e-03
1300 1.30000000e+02 4.76637390e-03 -3.32835549e-03 5.81345598e-03
1400 1.40000000e+02 4.60426323e-03 -3.25776730e-03 5.64023826e-03
1500 1.50000000e+02 4.63342201e-03 -3.15423729e-03 5.60515944e-03
1600 1.60000000e+02 4.41410858e-03 -2.98415194e-03 5.32818143e-03
1700 1.70000000e+02 4.44685295e-03 -3.01775476e-03 5.37413667e-03
1800 1.80000000e+02 4.44398914e-03 -3.08751618e-03 5.41126562e-03
1900 1.90000000e+02 4.64984775e-03 -3.16472584e-03 5.62463988e-03
2000 2.00000000e+02 4.87741875e-03 -3.28161847e-03 5.87862513e-03
2100 2.10000000e+02 4.98120859e-03 -3.65599571e-03 6.17889502e-03
2200 2.20000000e+02 5.10536926e-03 -3.69860162e-03 6.30431989e-03
2300 2.30000000e+02 5.07091545e-03 -3.41522344e-03 6.11374964e-03
2400 2.40000000e+02 5.29238395e-03 -3.60777602e-03 6.40510544e-03
2500 2.50000000e+02 5.30336145e-03 -3.99798853e-03 6.64150247e-03
2600 2.60000000e+02 5.19269332e-03 -4.00994439e-03 6.56077114e-03
2700 2.70000000e+02 5.08343801e-03 -3.92358471e-03 6.42151532e-03
2800 2.80000000e+02 5.04418556e-03 -3.96474916e-03 6.41584319e-03
2900 2.90000000e+02 4.92003793e-03 -3.78377107e-03 6.20674607e-03
3000 3.00000000e+02 4.92031453e-03 -3.52327805e-03 6.05169260e-03
3100 3.10000000e+02 4.88075987e-03 -3.21332575e-03 5.84356734e-03
3200 3.20000000e+02 5.00079617e-03 -2.89728353e-03 5.77946487e-03
3300 3.30000000e+02 4.93298238e-03 -2.80954363e-03 5.67695786e-03
3400 3.40000000e+02 4.94992593e-03 -2.59357388e-03 5.58823695e-03
3500 3.50000000e+02 4.76818159e-03 -2.97755515e-03 5.62151140e-03
3600 3.60000000e+02 4.88681858e-03 -3.13725881e-03 5.80718423e-03
3700 3.70000000e+02 4.83111897e-03 -3.03982920e-03 5.70791311e-03
3800 3.80000000e+02 4.84695751e-03 -2.86254985e-03 5.62913748e-03
3900 3.90000000e+02 4.80799889e-03 -2.71737296e-03 5.52276825e-03
4000 4.00000000e+02 4.69690328e-03 -2.75314180e-03 5.44432643e-03
4100 4.10000000e+02 4.88402788e-03 -2.99705518e-03 5.73027644e-03
4200 4.20000000e+02 4.79799742e-03 -3.15074623e-03 5.74003319e-03
4300 4.30000000e+02 4.93267179e-03 -3.17071145e-03 5.86384363e-03
4400 4.40000000e+02 4.98033222e-03 -3.35750356e-03 6.00637488e-03
4500 4.50000000e+02 4.99366689e-03 -3.42637603e-03 6.05613423e-03
4600 4.60000000e+02 5.02032787e-03 -3.54579603e-03 6.14624775e-03
4700 4.70000000e+02 5.08703990e-03 -3.37756611e-03 6.10622042e-03
4800 4.80000000e+02 5.00198547e-03 -3.69581324e-03 6.21923582e-03
4900 4.90000000e+02 5.12537919e-03 -3.60411080e-03 6.26571037e-03
5000 5.00000000e+02 5.05857915e-03 -3.64341680e-03 6.23407643e-03
5100 5.10000000e+02 5.09064086e-03 -3.43126990e-03 6.13907464e-03
5200 5.20000000e+02 5.40884258e-03 -3.35312355e-03 6.36388369e-03
5300 5.30000000e+02 5.34484675e-03 -3.39987082e-03 6.33454879e-03
5400 5.40000000e+02 5.48765529e-03 -3.37359775e-03 6.44170182e-03
5500 5.50000000e+02 5.57950884e-03 -3.52010690e-03 6.59712600e-03
5600 5.60000000e+02 5.58813103e-03 -3.26678785e-03 6.47295228e-03
5700 5.70000000e+02 5.56418579e-03 -3.28065315e-03 6.45932261e-03
5800 5.80000000e+02 5.56250336e-03 -3.32104834e-03 6.47848791e-03
5900 5.90000000e+02 5.61849866e-03 -3.37447971e-03 6.55397898e-03
6000 6.00000000e+02 5.48716914e-03 -3.14363814e-03 6.32388219e-03
6100 6.10000000e+02 5.51922387e-03 -3.23268119e-03 6.39625357e-03
6200 6.20000000e+02 5.47652552e-03 -3.11870058e-03 6.30227142e-03
6300 6.30000000e+02 5.37034310e-03 -2.77091516e-03 6.04305849e-03
6400 6.40000000e+02 5.43054892e-03 -2.94852420e-03 6.17937347e-03
6500 6.50000000e+02 5.34558576e-03 -3.07350187e-03 6.16617392e-03
6600 6.60000000e+02 5.51168201e-03 -3.35028023e-03 6.45004002e-03
6700 6.70000000e+02 5.28605236e-03 -3.27722705e-03 6.21953106e-03
6800 6.80000000e+02 5.58759412e-03 -3.62831634e-03 6.66227345e-03
6900 6.90000000e+02 5.39077725e-03 -3.62639665e-03 6.49701716e-03
7000 7.00000000e+02 5.42454608e-03 -3.62889003e-03 6.52644949e-03
7100 7.10000000e+02 5.37747610e-03 -3.26073309e-03 6.28884962e-03
7200 7.20000000e+02 5.34512196e-03 -3.49671370e-03 6.38727919e-03
7300 7.30000000e+02 5.16753970e-03 -3.37829557e-03 6.17384382e-03
7400 7.40000000e+02 5.05909557e-03 -3.45189660e-03 6.12454391e-03
7500 7.50000000e+02 4.99449065e-03 -3.40280635e-03 6.04351122e-03
7600 7.60000000e+02 4.87909699e-03 -3.24034831e-03 5.85708499e-03
7700 7.70000000e+02 4.68559610e-03 -3.28800851e-03 5.72414279e-03
7800 7.80000000e+02 4.50780336e-03 -3.37265502e-03 5.62983952e-03
7900 7.90000000e+02 4.68953932e-03 -3.29220714e-03 5.72978244e-03
8000 8.00000000e+02 4.77991905e-03 -3.37208668e-03 5.84966620e-03
8100 8.10000000e+02 4.70211077e-03 -3.47518525e-03 5.84694435e-03
8200 8.20000000e+02 4.60283970e-03 -3.16479872e-03 5.58588259e-03
8300 8.30000000e+02 4.49511968e-03 -3.10179498e-03 5.46143141e-03
