# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 3.85775534e-03 -3.13574122e-03 4.97143332e-03
100 1.00000000e+01 3.85377742e-03 -3.10152210e-03 4.94682118e-03
200 2.00000000e+01 3.79539747e-03 -3.15692509e-03 4.93672138e-03
300 3.00000000e+01 3.68377869e-03 -3.03172087e-03 4.77090734e-03
400 4.00000000e+01 3.72858951e-03 -3.02809384e-03 4.80330428e-03
500 5.00000000e+01 3.62853869e-03 -2.69405055e-03 4.51931426e-03
600 6.00000000e+01 3.57128284e-03 -2.43543694e-03 4.32266286e-03
700 7.00000000e+01 3.55761079e-03 -2.26845522e-03 4.21929895e-03
800 8.00000000e+01 3.47429048e-03 -2.28121644e-03 4.15627752e-03
900 9.00000000e+01 3.41951847e-03 -2.11080373e-03 4.01853194e-03
1000 1.00000000e+02 3.30518675e-03 -2.09314493e-03 3.91222637e-03
1100 1.10000000e+02 3.40821827e-03 -2.28183111e-03 4.10154910e-03
1200 1.20000000e+02 3.40026524e-03 -2.05712602e-03 3.97411263e-03
1300 1.30000000e+02 3.32776899e-03 -2.02326546e-03 3.89456668e-03
1400 1.40000000e+02 3.30753438e-03 -1.93476852e-03 3.83185502e-03
1500 1.50000000e+02 3.37303849e-03 -2.02703034e-03 3.93525611e-03
1600 1.60000000e+02 3.33290640e-03 -1.88868889e-03 3.83084988e-03
1700 1.70000000e+02 3.34844505e-03 -1.81844225e-03 3.81035648e-03
1800 1.80000000e+02 3.41792195e-03 -1.91231340e-03 3.91652052e-03
1900 1.90000000e+02 3.42307985e-03 -1.79473474e-03 3.86504184e-03
2000 2.00000000e+02 3.15979728e-03 -2.05370458e-03 3.76855694e-03
2100 2.10000000e+02 3.11185280e-03 -1.91700971e-03 3.65493558e-03
2200 2.20000000e+02 3.10254097e-03 -2.07868661e-03 3.73452788e-03
2300 2.30000000e+02 3.01394542e-03 -1.81966438e-03 3.52065980e-03
2400 2.40000000e+02 2.86207115e-03 -1.90561521e-03 3.43843287e-03
2500 2.50000000e+02 2.85464292e-03 -1.83397857e-03 3.39300216e-03
2600 2.60000000e+02 2.84494134e-03 -1.81441556e-03 3.37428437e-03
2700 2.70000000e+02 2.97415024e-03 -1.86613016e-03 3.51112680e-03
2800 2.80000000e+02 3.15707712e-03 -1.79086754e-03 3.62964771e-03
2900 2.90000000e+02 3.34585202e-03 -1.86816277e-03 3.83206966e-03
3000 3.00000000e+02 3.37614701e-03 -1.78032205e-03 3.81679385e-03
3100 3.10000000e+02 3.39274062e-03 -1.91680656e-03 3.89677255e-03
3200 3.20000000e+02 3.45475948e-03 -2.16792151e-03 4.07863295e-03
3300 3.30000000e+02 3.47654801e-03 -2.24385806e-03 4.13778746e-03
3400 3.40000000e+02 3.55817890e-03 -2.47181021e-03 4.33249152e-03
3500 3.50000000e+02 3.78499692e-03 -2.44111032e-03 4.50391178e-03
3600 3.60000000e+02 3.81684629e-03 -2.44623981e-03 4.53347602e-03
3700 3.70000000e+02 3.83807230e-03 -2.40000151e-03 4.52667717e-03
3800 3.80000000e+02 3.91706964e-03 -2.35863240e-03 4.57237152e-03
3900 3.90000000e+02 3.79337906e-03 -2.50394526e-03 4.54526859e-03
4000 4.00000000e+02 3.56420036e-03 -2.50318041e-03 4.35539165e-03
4100 4.10000000e+02 3.59616801e-03 -2.32266658e-03 4.28102843e-03
4200 4.20000000e+02 3.62972263e-03 -2.39632512e-03 4.34939771e-03
4300 4.30000000e+02 3.44932824e-03 -2.11747084e-03 4.04741252e-03
4400 4.40000000e+02 3.60566773e-03 -2.08790298e-03 4.16655477e-03
4500 4.50000000e+02 3.52858333e-03 -2.01346632e-03 4.06262808e-03
4600 4.60000000e+02 3.45404702e-03 -1.75924005e-03 3.87625675e-03
4700 4.70000000e+02 3.30452761e-03 -1.59506011e-03 3.66934864e-03
4800 4.80000000e+02 3.42074037e-03 -1.62850460e-03 3.78860025e-03
4900 4.90000000e+02 3.29143670e-03 -1.46594422e-03 3.60313031e-03
5000 5.00000000e+02 3.13609373e-03 -1.21109816e-03 3.36182133e-03
5100 5.10000000e+02 3.13751260e-03 -1.45161489e-03 3.45704659e-03
5200 5.20000000e+02 3.06477956e-03 -1.29618554e-03 3.32760736e-03
5300 5.30000000e+02 3.01792147e-03 -1.16983405e-03 3.23672082e-03
5400 5.40000000e+02 3.24859051e-03 -1.45210407e-03 3.55836290e-03
5500 5.50000000e+02 3.31710628e-03 -1.34932436e-03 3.58104319e-03
5600 5.60000000e+02 3.26155522e-03 -1.49389659e-03 3.58740428e-03
5700 5.70000000e+02 3.24693974e-03 -1.44269585e-03 3.55302533e-03
5800 5.80000000e+02 3.35086882e-03 -1.43024500e-03 3.64333949e-03
5900 5.90000000e+02 3.32928961e-03 -1.50637515e-03 3.65422159e-03
6000 6.00000000e+02 3.38154985e-03 -1.46428379e-03 3.68497034e-03
6100 6.10000000e+02 3.43773654e-03 -1.51154515e-03 3.75536966e-03
6200 6.20000000e+02 3.82800773e-03 -1.68059638e-03 4.18067547e-03
6300 6.30000000e+02 3.93870752e-03 -1.61873433e-03 4.25837032e-03
6400 6.40000000e+02 3.91285494e-03 -1.72768394e-03 4.27730354e-03
6500 6.50000000e+02 3.85771203e-03 -1.63830863e-03 4.19118089e-03
6600 6.60000000e+02 3.83758661e-03 -1.63897267e-03 4.17292492e-03
