# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 -1.37473107e-04 2.76641949e-05 1.40228966e-04
100 1.00000000e+01 -1.10798428e-04 9.83988502e-06 1.11234505e-04
200 2.00000000e+01 -1.27048435e-04 6.95506023e-05 1.44839881e-04
300 3.00000000e+01 -1.18177493e-04 5.57093044e-05 1.30650092e-04
400 4.00000000e+01 -3.01816544e-05 4.02827027e-05 5.03351607e-05
500 5.00000000e+01 -4.63622200e-05 1.10352747e-04 1.19696216e-04
600 6.00000000e+01 -2.14917036e-05 1.48976787e-05 2.61502228e-05
700 7.00000000e+01 -2.03825784e-05 2.45005995e-05 3.18705017e-05
800 8.00000000e+01 -1.76931335e-05 2.64030969e-05 3.17831795e-05
900 9.00000000e+01 -1.39409103e-05 2.60014749e-05 2.95029774e-05
1000 1.00000000e+02 -1.02527447e-05 2.48214565e-05 2.68556042e-05
1100 1.10000000e+02 -6.94651953e-06 2.33421288e-05 2.43538315e-05
1200 1.20000000e+02 -4.07664265e-06 2.18038458e-05 2.21816750e-05
1300 1.30000000e+02 -1.65936808e-06 2.03518648e-05 2.04194002e-05
1400 1.40000000e+02 7.99550980e-05 -2.70800228e-07 7.99555566e-05
1500 1.50000000e+02 5.79549960e-05 4.39162886e-06 5.81211490e-05
1600 1.60000000e+02 5.08705780e-05 3.05519234e-06 5.09622400e-05
1700 1.70000000e+02 4.82425748e-05 1.36259405e-06 4.82618140e-05
1800 1.80000000e+02 6.84414117e-05 -7.33511552e-05 1.00322574e-04
1900 1.90000000e+02 6.58033532e-05 -6.21192739e-05 9.04924609e-05
2000 2.00000000e+02 6.51143564e-05 -5.59408654e-05 8.58443931e-05
2100 2.10000000e+02 6.48478090e-05 -5.12774604e-05 8.26717381e-05
2200 2.20000000e+02 6.45762630e-05 -4.72904212e-05 8.00404752e-05
2300 2.30000000e+02 6.42648884e-05 -4.37046292e-05 7.77178904e-05
2400 2.40000000e+02 6.39098580e-05 -4.03968552e-05 7.56067183e-05
2500 2.50000000e+02 6.34264434e-05 -3.72395662e-05 7.35506561e-05
2600 2.60000000e+02 6.28146809e-05 -3.42214043e-05 7.15317317e-05
2700 2.70000000e+02 6.21111176e-05 -3.13186902e-05 6.95604146e-05
2800 2.80000000e+02 6.12999138e-05 -2.85564911e-05 6.76250886e-05
2900 2.90000000e+02 6.03801673e-05 -2.59429999e-05 6.57176068e-05
3000 3.00000000e+02 5.93604127e-05 -2.34718391e-05 6.38324825e-05
3100 3.10000000e+02 5.83105211e-05 -2.11068709e-05 6.20130379e-05
3200 3.20000000e+02 5.71804339e-05 -1.88696686e-05 6.02135069e-05
3300 3.30000000e+02 5.60186818e-05 -1.67275230e-05 5.84628321e-05
3400 3.40000000e+02 5.47714371e-05 -1.47055825e-05 5.67112377e-05
3500 3.50000000e+02 5.34219325e-05 -1.28119000e-05 5.49367605e-05
3600 3.60000000e+02 5.20823232e-05 -1.10035126e-05 5.32319987e-05
3700 3.70000000e+02 5.07026562e-05 -9.32896910e-06 5.15537487e-05
3800 3.80000000e+02 4.92508007e-05 -7.74449472e-06 4.98559782e-05
3900 3.90000000e+02 4.77876602e-05 -6.26640031e-06 4.81967658e-05
4000 4.00000000e+02 4.63391261e-05 -4.86731142e-06 4.65940482e-05
4100 4.10000000e+02 4.49194267e-05 -3.58709349e-06 4.50624249e-05
4200 4.20000000e+02 4.35138936e-05 -2.40286863e-06 4.35801872e-05
4300 4.30000000e+02 4.20976758e-05 -1.28551892e-06 4.21172989e-05
4400 4.40000000e+02 4.06531144e-05 -2.69168197e-07 4.06540055e-05
4500 4.50000000e+02 3.92330330e-05 6.80397306e-07 3.92389325e-05
4600 4.60000000e+02 3.78363547e-05 1.54213240e-06 3.78677688e-05
4700 4.70000000e+02 3.64498701e-05 2.35105563e-06 3.65256142e-05
4800 4.80000000e+02 3.50679438e-05 3.06815173e-06 3.52019068e-05
4900 4.90000000e+02 3.37176025e-05 3.73653961e-06 3.39240099e-05
5000 5.00000000e+02 3.24086250e-05 4.34772437e-06 3.26989553e-05
5100 5.10000000e+02 3.11317744e-05 4.88047135e-06 3.15120038e-05
5200 5.20000000e+02 2.99016665e-05 5.38631139e-06 3.03829230e-05
5300 5.30000000e+02 2.87018665e-05 5.85108137e-06 2.92921883e-05
5400 5.40000000e+02 2.75103030e-05 6.27774762e-06 2.82174925e-05
5500 5.50000000e+02 2.63656093e-05 6.65663674e-06 2.71929433e-05
5600 5.60000000e+02 2.52585123e-05 7.00792725e-06 2.62126589e-05
5700 5.70000000e+02 2.41661146e-05 7.32396438e-06 2.52515653e-05
5800 5.80000000e+02 2.30735895e-05 7.59218256e-06 2.42905696e-05
5900 5.90000000e+02 2.20571837e-05 7.80751907e-06 2.33982202e-05
6000 6.00000000e+02 2.10776052e-05 8.00049293e-06 2.25449180e-05
6100 6.10000000e+02 2.01363055e-05 8.16124884e-06 2.17273280e-05
6200 6.20000000e+02 1.92123171e-05 8.26853920e-06 2.09160672e-05
6300 6.30000000e+02 1.83150296e-05 8.34112416e-06 2.01249761e-05
