# step  t  vx_mean  vy_mean  vmag_mean
0 0.00000000e+00 3.24310525e-03 -2.64906348e-03 4.18751346e-03
100 1.00000000e+01 3.14829824e-03 -2.56660162e-03 4.06192389e-03
200 2.00000000e+01 3.13466834e-03 -2.79862760e-03 4.20219728e-03
300 3.00000000e+01 3.07746022e-03 -2.54829647e-03 3.99556958e-03
400 4.00000000e+01 3.02821537e-03 -2.49966793e-03 3.92663063e-03
500 5.00000000e+01 3.05551337e-03 -2.47553457e-03 3.93248437e-03
600 6.00000000e+01 2.97950278e-03 -2.23375252e-03 3.72385380e-03
700 7.00000000e+01 2.90125282e-03 -1.96190970e-03 3.50233602e-03
800 8.00000000e+01 2.87170243e-03 -1.80940866e-03 3.39420602e-03
900 9.00000000e+01 2.79372465e-03 -1.76298257e-03 3.30348376e-03
1000 1.00000000e+02 2.69906898e-03 -1.82775769e-03 3.25970421e-03
1100 1.10000000e+02 2.75395531e-03 -1.67487154e-03 3.22326923e-03
1200 1.20000000e+02 2.69881426e-03 -1.55068189e-03 3.11258940e-03
1300 1.30000000e+02 2.73041707e-03 -1.77241000e-03 3.25524416e-03
1400 1.40000000e+02 2.79339310e-03 -1.76337012e-03 3.30341024e-03
1500 1.50000000e+02 2.76873307e-03 -1.63147599e-03 3.21365784e-03
1600 1.60000000e+02 2.76462547e-03 -1.59623194e-03 3.19235187e-03
1700 1.70000000e+02 2.70309206e-03 -1.62067707e-03 3.15171395e-03
1800 1.80000000e+02 2.74960347e-03 -1.57466414e-03 3.16857798e-03
1900 1.90000000e+02 2.77637341e-03 -1.64863328e-03 3.22896903e-03
2000 2.00000000e+02 2.68776133e-03 -1.47556933e-03 3.06616467e-03
2100 2.10000000e+02 2.87089450e-03 -1.38627039e-03 3.18806851e-03
2200 2.20000000e+02 2.69441237e-03 -1.37678813e-03 3.02578974e-03
2300 2.30000000e+02 2.85336189e-03 -1.38594268e-03 3.17214615e-03
2400 2.40000000e+02 2.74122600e-03 -1.36849785e-03 3.06383849e-03
2500 2.50000000e+02 2.73422734e-03 -1.33895187e-03 3.04446896e-03
2600 2.60000000e+02 2.66342820e-03 -1.33074867e-03 2.97737162e-03
2700 2.70000000e+02 2.45717121e-03 -1.43632549e-03 2.84617661e-03
2800 2.80000000e+02 2.36356724e-03 -1.31114549e-03 2.70287858e-03
2900 2.90000000e+02 2.30587670e-03 -1.13745127e-03 2.57115980e-03
3000 3.00000000e+02 2.21513049e-03 -1.15460716e-03 2.49798334e-03
3100 3.10000000e+02 2.29297322e-03 -1.03990280e-03 2.51776171e-03
3200 3.20000000e+02 2.28335732e-03 -1.10759796e-03 2.53781281e-03
3300 3.30000000e+02 2.41260324e-03 -1.35593978e-03 2.76753086e-03
3400 3.40000000e+02 2.51533045e-03 -1.38936250e-03 2.87353709e-03
3500 3.50000000e+02 2.48508039e-03 -1.29591988e-03 2.80268316e-03
3600 3.60000000e+02 2.77397619e-03 -1.39630889e-03 3.10557924e-03
3700 3.70000000e+02 2.70430720e-03 -1.30183354e-03 3.00134104e-03
3800 3.80000000e+02 2.72351992e-03 -1.32387411e-03 3.02823437e-03
3900 3.90000000e+02 2.74089607e-03 -1.39294565e-03 3.07454206e-03
4000 4.00000000e+02 2.71464349e-03 -1.46646076e-03 3.08541673e-03
4100 4.10000000e+02 2.70131603e-03 -1.63978653e-03 3.16006458e-03
4200 4.20000000e+02 2.79094628e-03 -1.75527809e-03 3.29702628e-03
4300 4.30000000e+02 3.06480913e-03 -1.98517228e-03 3.65157007e-03
4400 4.40000000e+02 3.08402092e-03 -2.02220725e-03 3.68788655e-03
4500 4.50000000e+02 3.35289491e-03 -1.90343405e-03 3.85551105e-03
4600 4.60000000e+02 3.30122514e-03 -1.92352210e-03 3.82073614e-03
4700 4.70000000e+02 3.22055980e-03 -1.71311875e-03 3.64784611e-03
4800 4.80000000e+02 3.29117617e-03 -1.57267565e-03 3.64762241e-03
4900 4.90000000e+02 3.30883544e-03 -1.70343078e-03 3.72156800e-03
5000 5.00000000e+02 3.25066526e-03 -1.71503786e-03 3.67534754e-03
5100 5.10000000e+02 3.21738562e-03 -1.83218182e-03 3.70249381e-03
5200 5.20000000e+02 3.14095803e-03 -1.95368985e-03 3.69898923e-03
5300 5.30000000e+02 3.10210395e-03 -1.73802942e-03 3.55581146e-03
5400 5.40000000e+02 3.20991315e-03 -1.92291790e-03 3.74181182e-03
5500 5.50000000e+02 3.19541665e-03 -1.80834613e-03 3.67162134e-03
5600 5.60000000e+02 3.02404910e-03 -1.64941791e-03 3.44462660e-03
5700 5.70000000e+02 2.98486045e-03 -1.44948857e-03 3.31819363e-03
5800 5.80000000e+02 2.94817705e-03 -1.45665440e-03 3.28840234e-03
5900 5.90000000e+02 2.89894082e-03 -1.30837644e-03 3.18051989e-03
6000 6.00000000e+02 2.92190351e-03 -1.27415219e-03 3.18762983e-03
6100 6.10000000e+02 2.75562913e-03 -1.11605693e-03 2.97305819e-03
6200 6.20000000e+02 2.72767805e-03 -1.09582592e-03 2.93956833e-03
6300 6.30000000e+02 2.60223541e-03 -8.89997813e-04 2.75022277e-03
6400 6.40000000e+02 2.60571390e-03 -9.01268504e-04 2.75717788e-03
6500 6.50000000e+02 2.84841005e-03 -1.15600345e-03 3.07405006e-03
6600 6.60000000e+02 2.88294093e-03 -1.29229215e-03 3.15933021e-03
6700 6.70000000e+02 2.83272751e-03 -1.32159016e-03 3.12585119e-03
6800 6.80000000e+02 2.79434863e-03 -1.21396501e-03 3.04665314e-03
6900 6.90000000e+02 2.85913399e-03 -1.22633541e-03 3.11103612e-03
7000 7.00000000e+02 2.95539061e-03 -1.25764054e-03 3.21185202e-03
7100 7.10000000e+02 2.87539954e-03 -1.19314238e-03 3.11311922e-03
7200 7.20000000e+02 2.80356081e-03 -1.03907473e-03 2.98992132e-03
7300 7.30000000e+02 2.89721414e-03 -1.06121821e-03 3.08545522e-03
7400 7.40000000e+02 2.95241061e-03 -1.24667108e-03 3.20482717e-03
7500 7.50000000e+02 3.05445027e-03 -1.32524373e-03 3.32955513e-03
7600 7.60000000e+02 3.30373179e-03 -1.49562792e-03 3.62650612e-03
7700 7.70000000e+02 3.36988922e-03 -1.57515204e-03 3.71984641e-03
7800 7.80000000e+02 3.31121334e-03 -1.54212280e-03 3.65270811e-03
7900 7.90000000e+02 3.21033620e-03 -1.35774864e-03 3.48564770e-03
8000 8.00000000e+02 3.25023406e-03 -1.34871365e-03 3.51895580e-03
8100 8.10000000e+02 3.18742171e-03 -1.19198044e-03 3.40300963e-03
8200 8.20000000e+02 3.15639493e-03 -1.34706567e-03 3.43182384e-03
8300 8.30000000e+02 3.02871596e-03 -1.15449261e-03 3.24129196e-03
8400 8.40000000e+02 2.98964512e-03 -1.22375006e-03 3.23040897e-03
8500 8.50000000e+02 3.05546401e-03 -1.28904008e-03 3.31624557e-03
8600 8.60000000e+02 3.18013132e-03 -1.30630785e-03 3.43797548e-03
8700 8.70000000e+02 3.16102756e-03 -1.40247657e-03 3.45818388e-03
8800 8.80000000e+02 3.37804761e-03 -1.87875703e-03 3.86535039e-03
8900 8.90000000e+02 3.28983436e-03 -1.88800239e-03 3.79309414e-03
9000 9.00000000e+02 3.31247039e-03 -1.93306094e-03 3.83525549e-03
9100 9.10000000e+02 3.43932398e-03 -1.76259596e-03 3.86467255e-03
9200 9.20000000e+02 3.31923738e-03 -1.81343453e-03 3.78231167e-03
9300 9.30000000e+02 3.23850685e-03 -1.62028370e-03 3.62122160e-03
9400 9.40000000e+02 3.17462254e-03 -1.62191771e-03 3.56494675e-03
9500 9.50000000e+02 3.12119746e-03 -1.48070499e-03 3.45461442e-03
9600 9.60000000e+02 3.18449480e-03 -1.60587835e-03 3.56649020e-03
9700 9.70000000e+02 3.34820873e-03 -1.63291127e-03 3.72517126e-03
9800 9.80000000e+02 3.26150586e-03 -1.55221729e-03 3.61203530e-03
9900 9.90000000e+02 3.28544551e-03 -1.51942461e-03 3.61977946e-03
